id;titre;categorie;annee;classe;url
1;EVACOM 2025 — 11CT;EVACOM;2025;11CT;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcy5Ym22g0v4bFLiSOMG_c_R
2;EVACOM 2025 — 11LC;EVACOM;2025;11LC;https://www.youtube.com/playlist?list=PLZPJxPW8-WcwD0Zfy9QkED0n9Eh46uPp4
3;EVACOM 2025 — 11LS;EVACOM;2025;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-WcwXJ3L2hJK7UWRhDKnodvuT
4;EVACOM 2024 — 11CT;EVACOM;2024;11CT;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcw5L8V5copa-qQ0gc00meS5
5;EVACOM 2024 — 11LC;EVACOM;2024;11LC;https://www.youtube.com/playlist?list=PLZPJxPW8-WcxXgsmwV9W6DWNi5m-cjiv-
6;EVACOM 2024 — 11LS;EVACOM;2024;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-Wczxnnyas1QQT2rc1JccZy-u
7;EVACOM 2023 — 11CT;EVACOM;2023;11CT;https://www.youtube.com/playlist?list=PLZPJxPW8-WcwTU7uMoP3sKg-X5E9wcLht
8;EVACOM 2023 — 11LC;EVACOM;2023;11LC;https://www.youtube.com/playlist?list=PLZPJxPW8-WcxdixKr5KddSuy9aHi0doH9
9;EVACOM 2023 — 11LS;EVACOM;2023;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-WcwR-qozYjMOC6wySZByA2ik
10;EVACOM 2022 — 11CT;EVACOM;2022;11CT;https://www.youtube.com/playlist?list=PLZPJxPW8-WczHhWcyLAzHX-2HmKRHxq0z
11;EVACOM 2022 — 11LC;EVACOM;2022;11LC;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcxsp4M9vYjtfz8w-8zCu1Np
12;EVACOM 2022 — 11LS;EVACOM;2022;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-WcytzPpAgnwt_nSNhGhR3lJt
13;EVACOM 2021 — 11CT;EVACOM;2021;11CT;https://www.youtube.com/playlist?list=PLZPJxPW8-WcxUTQxr1e_5C3Q-RkcKdu7D
14;EVACOM 2021 — 11LC;EVACOM;2021;11LC;https://www.youtube.com/playlist?list=PLZPJxPW8-WczdGOeTsnnduKYOJoFaD-cM
15;EVACOM 2021 — 11LS;EVACOM;2021;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcz5mjdTALITB4gp-3F914Eo
16;EVACOM 2020 — 11LS;EVACOM;2020;11LS;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcxb1p_KQFf2wzj3O7Z9-Wv6
17;TAF 2023;TAF;2023;;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcw8s_LvdNOt3Zx8PHzzDDEZ
18;TAF 2022;TAF;2022;;https://www.youtube.com/playlist?list=PLZPJxPW8-WcxIeIv7VtfzJkjh72KWIvFG
19;TAF 2021;TAF;2021;;https://www.youtube.com/playlist?list=PLZPJxPW8-WcwcehPDFYIu2f1fqdKE7atG
20;TAF 2019;TAF;2019;;https://www.youtube.com/playlist?list=PLZPJxPW8-WcyS8ahRok24KmeZxSmY8XaX
21;TAF 2018;TAF;2018;;https://www.youtube.com/playlist?list=PLZPJxPW8-Wcw4jSPfdMe6co38kqNTEL5Y
